"Post image","Post title","Publish date","Post views","Avg. reading time","Engagement"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","💔 365 Days of Stories – Day 55: To Every Senior Developer Worried About Job Safety in the Age of AI","28/8/2025","3","26s, 953ms","0"
"https://static.wixstatic.com/media/b4a6a2_0ed90d53939744a69f43460139603db3~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_0ed90d53939744a69f43460139603db3~mv2.png","365 Days of Stories – Day 54: I couldn’t even get someone to talk to me. That was the real pain.","8/8/2025","1","5s, 1000ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 53: The Invisible Math of Entrepreneurship","13/7/2025","3","18s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 52: Moonlighting — Survival or Betrayal?","4/7/2025","4","26s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 51: No One Led. Everyone Owned.","28/6/2025","4","1m, 1s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 50 — This Isn’t Just a Building. It’s Our Grandparents’ House","20/6/2025","6","4s, 667ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 49: “This is not our service sir.”","20/6/2025","1","3s, 500ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","💭 365 Days of Stories – Day 48 - Are We Chasing Fulfillment or Just Fulfilling Responsibilities?","1/6/2025","5","57s, 1000ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","💭 365 Days of Story: Day 47 — Are You a Job Person or a Business Person?","23/5/2025","1","13s, 851ms","1"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","💭 365 Days of Stories: Day 46 — The Loneliest Journey: Why Entrepreneurship Is Harder Than You Think","22/5/2025","3","22s, 500ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚨 365 Days of Stories: Day 45 — The Weight of Titles","15/5/2025","1",,"0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚨 365 Days of Stories: Day 44 – The Quiet Struggle of Job Hunting in Tech Leadership","12/5/2025","1","29s, 1000ms","0"
"https://static.wixstatic.com/media/b4a6a2_37afa8eeb12042738e7f438fc04171b8~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_37afa8eeb12042738e7f438fc04171b8~mv2.png","🚨 365 Days of Stories: Day 43 – Sales Is Hard. Really Hard.","16/4/2025","4","26s, 728ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚨 365 Days of Stories: Day 42 - You Might Be Solving the Right Problem — But Selling It the Wrong Way","11/4/2025","1","8s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚀 365 Days of Stories: Day 41 - 🧠 Lesson: Not Every Exciting Idea is a Scalable Business","10/4/2025","2","12s, 631ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚜 365 Days of Stories: Day 40 - If You’re Not Deeply Committed to the Problem You’ll Quit Midway","9/4/2025","1","3s, 667ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚦 365 Days of Stories: Day 39 - Don’t Just Pick a Big Problem — Pick the Right Problem","8/4/2025","1","14s, 667ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚀 365 Days of Stories: Day 38 – The Best Cofounder Might Be the One Who Says No","7/4/2025","1","1m, 11s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚀 365 Days of Stories: Day 35 – Should You Leave a Job Without Clarity on What's Next?","30/3/2025","3","22s, 558ms","0"
"https://static.wixstatic.com/media/b4a6a2_b920aad9b2344764816e09172e91b395~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_b920aad9b2344764816e09172e91b395~mv2.png","🚀 365 Days of Stories: Day 34 🌟 When Numbers Speak Louder Than Dreams","29/3/2025","1","14s, 1000ms","0"
